Series ID,Year,Period,Label,Value
APU0000708111,2010,M08,2010 Aug,1.519
APU0000708111,2010,M09,2010 Sep,1.753
APU0000708111,2010,M10,2010 Oct,1.456
APU0000708111,2010,M11,2010 Nov,1.675
APU0000708111,2010,M12,2010 Dec,1.793
APU0000708111,2011,M01,2011 Jan,1.806
APU0000708111,2011,M02,2011 Feb,1.708
APU0000708111,2011,M03,2011 Mar,1.732
APU0000708111,2011,M04,2011 Apr,1.727
APU0000708111,2011,M05,2011 May,1.692
APU0000708111,2011,M06,2011 Jun,1.683
APU0000708111,2011,M07,2011 Jul,1.647
APU0000708111,2011,M08,2011 Aug,1.711
APU0000708111,2011,M09,2011 Sep,1.947
APU0000708111,2011,M10,2011 Oct,1.871
APU0000708111,2011,M11,2011 Nov,1.836
APU0000708111,2011,M12,2011 Dec,1.874
APU0000708111,2012,M01,2012 Jan,1.939
APU0000708111,2012,M02,2012 Feb,1.798
APU0000708111,2012,M03,2012 Mar,1.774
APU0000708111,2012,M04,2012 Apr,1.829
APU0000708111,2012,M05,2012 May,1.691
APU0000708111,2012,M06,2012 Jun,1.670
APU0000708111,2012,M07,2012 Jul,1.648
APU0000708111,2012,M08,2012 Aug,1.884
APU0000708111,2012,M09,2012 Sep,1.889
APU0000708111,2012,M10,2012 Oct,1.960
APU0000708111,2012,M11,2012 Nov,1.963
APU0000708111,2012,M12,2012 Dec,2.007
APU0000708111,2013,M01,2013 Jan,1.933
APU0000708111,2013,M02,2013 Feb,1.965
APU0000708111,2013,M03,2013 Mar,1.925
APU0000708111,2013,M04,2013 Apr,1.918
APU0000708111,2013,M05,2013 May,1.870
APU0000708111,2013,M06,2013 Jun,1.859
APU0000708111,2013,M07,2013 Jul,1.833
APU0000708111,2013,M08,2013 Aug,1.838
APU0000708111,2013,M09,2013 Sep,1.897
APU0000708111,2013,M10,2013 Oct,1.925
APU0000708111,2013,M11,2013 Nov,1.925
APU0000708111,2013,M12,2013 Dec,2.026
APU0000708111,2014,M01,2014 Jan,2.008
APU0000708111,2014,M02,2014 Feb,1.998
APU0000708111,2014,M03,2014 Mar,2.061
APU0000708111,2014,M04,2014 Apr,2.119
APU0000708111,2014,M05,2014 May,1.996
APU0000708111,2014,M06,2014 Jun,1.948
APU0000708111,2014,M07,2014 Jul,1.950
APU0000708111,2014,M08,2014 Aug,1.979
APU0000708111,2014,M09,2014 Sep,1.970
APU0000708111,2014,M10,2014 Oct,1.951
APU0000708111,2014,M11,2014 Nov,2.032
APU0000708111,2014,M12,2014 Dec,2.210
APU0000708111,2015,M01,2015 Jan,2.113
APU0000708111,2015,M02,2015 Feb,2.088
APU0000708111,2015,M03,2015 Mar,2.133
APU0000708111,2015,M04,2015 Apr,2.065
APU0000708111,2015,M05,2015 May,1.962
APU0000708111,2015,M06,2015 Jun,2.570
APU0000708111,2015,M07,2015 Jul,2.570
APU0000708111,2015,M08,2015 Aug,2.943
APU0000708111,2015,M09,2015 Sep,2.966
APU0000708111,2015,M10,2015 Oct,2.808
APU0000708111,2015,M11,2015 Nov,2.664
APU0000708111,2015,M12,2015 Dec,2.751
APU0000708111,2016,M01,2016 Jan,2.328
APU0000708111,2016,M02,2016 Feb,2.267
APU0000708111,2016,M03,2016 Mar,2.081
APU0000708111,2016,M04,2016 Apr,1.793
APU0000708111,2016,M05,2016 May,1.684
APU0000708111,2016,M06,2016 Jun,1.491
APU0000708111,2016,M07,2016 Jul,1.546
APU0000708111,2016,M08,2016 Aug,1.455
APU0000708111,2016,M09,2016 Sep,1.471
APU0000708111,2016,M10,2016 Oct,1.390
APU0000708111,2016,M11,2016 Nov,1.321
APU0000708111,2016,M12,2016 Dec,1.383
APU0000708111,2017,M01,2017 Jan,1.599
